Year,Fire Name,County,Date/Start,Date/contained,Size (acres),Grass,Brush,Timber,Structures lost,Structures damaged,Structures threatened,Deaths,Injuries (Responders),Injuries (civilians),Evacuations,# of Evacuated,# of Sheltering in place,Cause ,Resources assigned (personnel),Estimated Total Cost
2008,Spokane Valley  ,Spokane,10-Jul-08,21-Jul-08,"1,006",1,1,1,21,40,2800,0,1,0,Yes,2400,,H,473,"2,940,000"
2008,Rock Lake Fire,Whitman,18-Aug-08,23-Aug-08,"2,172",1,0,1,0,0,9,0,3,0,No,,,U,189,"425,000"
2008,Stubblefield Point,Okanogan,4-Jul-08,6-Jul-08,"1,500",1,1,1,0,0,13,0,0,0,No,,,U,79,"384,000"
2008,Arctic Creek,Whatcom,7-Aug-08,18-Sep-08,144,0,0,1,0,0,0,0,0,0,No,,,L,7,"15,500"
2008,Jack Creek,Chelan,10-Aug-08,1-Oct-08,"1,058",0,0,1,1,0,0,0,1,0,No,,,L,60,"487,000"
2010,Swakane ,Chelan,10-Jul-10,10-Oct-10,"19,291",1,1,1,0,0,60,0,0,0,No,,,H,404,"3,500,000"
2010,Wenatchee River Complex,Chelan,30-Jul-10,3-Aug-10,"2,065",0,0,1,4,0,174,0,1,0,Yes,,,L,800,"2,400,000"
2010,Buffalo Lake 2,Okanogan,27-Aug-10,29-Aug-10,408,1,1,1,0,0,1,0,0,0,No,,,H,165,"55,000"
2010,Eureka Fire ,Walla Walla,6-Aug-10,8-Aug-10,"21,620",1,0,0,2,0,9,0,0,0,No,,,H,186,"575,000"
2010,Cowiche Mill Fire ,Yakima,18-Jul-10,21-Jul-10,"5,834",1,0,0,7,1,150,0,3,0,No,,,U,145,"800,000"
2011,Highway 17 Fire,Douglas,12-Aug-11,14-Aug-11,600,1,0,0,0,0,8,0,0,0,No,,,H,103,"200,000"
2011,Monastery Complex,Klickitat,7-Sep-11,21-Sep-11,"3,626",0,0,1,113,0,201,0,10,0,No,,,H,1016,"4,900,000"
2012,Wenatchee Complex,Chelan,9-Sep-12,30-Oct-12,"56,478",1,1,1,1,0,792,0,5,0,No,,,L,2062,"32,394,876"
2012,Foster Creek,Douglas,13-Jul-12,17-Jul-12,"1,291",1,0,0,0,0,25,0,0,0,No,,,L,234,"562,000"
2012,Apache Pass ,Lincoln,9-Sep-12,14-Sep-12,"23,324",1,1,0,4,0,120,0,0,0,Yes,,,U,129,"680,000"
2012,Radio,Ferry,9-Sep-12,20-Oct-12,191,0,0,1,0,0,66,0,0,0,No,,,L,13,"621,334"
2013,Dead Canyon,Klickitat,10-Sep-13,13-Sep-13,"3,760",1,1,0,0,0,30,0,1,0,No,,,H,118,"385,000"
2013,Grande Ronde,Asotin,29-Aug-13,2-Sep-13,"1,127",1,0,0,0,0,0,0,0,0,No,,,L,191,"695,000"
2013,Desmarais ,Yakima,7-Jun-13,10-Jun-13,"10,130",1,0,0,0,0,0,0,1,0,No,,,U,79,"230,000"
2013,Conrad Lake,Yakima,9-Aug-13,1-Oct-13,"1,100",0,0,1,0,0,0,0,0,0,No,,,L,604,"6,073,792"
2014,SR 530 Slide,Snohomish,22-Mar-14,28-Apr-14,328,0,0,1,36,9,0,41,146,0,No,,,U,705,"3,362,024"
2014,Little Bridge Creek ,Okanogan,2-Aug-14,29-Aug-14,"4,958",0,0,1,0,0,500,0,1,0,No,,,L,918,"13,100,000"
2014,Belvedere ,Okanogan,4-Jun-14,5-Jun-14,700,1,1,0,0,0,7,0,0,0,No,,,U,26,"60,000"
2014,Hay Canyon,Chelan,25-Jun-14,29-Jun-14,154,0,1,0,0,0,0,0,0,0,Yes,4,2,U,84,"150,000"
2014,Trinidad,Grant,13-Sep-14,14-Sep-14,300,1,1,0,0,0,12,0,0,0,No,,,U,74,"130,000"
2015,Junction ,Klickitat,2-Jul-15,6-Jul-15,"2,100",1,1,0,3,0,7,0,0,0,Yes,1,,U,51,"40,000"
2015,231,Stevens,3-Jul-15,12-Jul-15,970,1,1,1,11,0,125,0,4,0,No,,,H,266,"2,900,000"
2015,Colville Complex ,Ferry,14-Aug-15,1-Oct-15,"11,522",0,1,1,18,22,449,0,1,0,No,,,H,486,"4,626,630"
2015,Alder Lake,Lewis,11-Aug-15,19-Nov-15,350,0,0,1,0,45,0,0,0,0,No,,,L,86,"2,800,000"
2015,Meeks Table,Yakima,12-Sep-15,9-Oct-15,"1,183",0,0,1,0,0,125,0,0,0,No,,,H,327,"3,500,000"
2015,Williams,Stevens,3-Jul-15,10-Jul-15,332,1,0,1,0,0,800,0,1,0,No,,,U,293,"2,000,000"
2015,Egypt Loop 2,Lincoln,15-Jun-15,8-Jul-15,210,0,0,1,0,0,11,0,0,0,No,,,U,149,"400,000"
2015,Wildhorse,Okanogan,20-Jul-15,26-Jul-15,163,1,1,1,0,0,50,0,0,0,No,,,L,201,"250,000"
2016,Hot Shot,Snohomish,12-May-16,17-Jul-16,60,0,0,1,0,0,0,0,0,0,No,,,U,150,"460,000"
2016,Webber Canyon ,Benton,11-May-16,12-May-16,504,1,1,0,0,0,0,0,0,0,No,,,H,29,"25,000"
2016,Palouse Falls,Franklin,7-Aug-16,8-Aug-16,"4,033",1,1,0,0,0,10,0,0,0,No,,,U,82,"60,000"
2016,Proctor Creek 62 Rd,Snohomish,13-May-16,16-May-16,289,0,0,1,0,0,0,0,0,0,No,,,U,200,"450,000"
2016,Hart ,Lincoln,21-Aug-16,2-Sep-16,"4,983",1,0,1,39,20,605,0,0,0,No ,,,H,378,"2,920,762"
2016,Kewa,Ferry,2-Aug-16,14-Aug-16,"1,889",0,1,1,5,0,90,0,0,0,Yes,90,,U,439,"4,765,376"
2016,Bodie,Stevens,18-Aug-16,24-Aug-16,41,1,1,1,0,0,21,0,1,0,No,,,U,153,"600,000"
2017,Hayes Road,Douglas,4-Aug-17,7-Aug-17,"2,306",1,1,1,1,0,12,0,0,0,Yes,2,,U,90,"540,000"
2017,Paterson Slough,Benton,27-Jul-17,27-Jul-17,886,1,0,0,0,0,0,0,0,0,No,,,U,14,"100,000"
2017,Noisy Creek ,Pend Oreille,15-Jul-17,30-Sep-17,"4,000",0,1,1,0,0,20,0,9,2,No,,,L,337,"6,000,000"
2017,Chumyon ,Chelan,29-Sep-17,3-Nov-17,730,1,0,1,0,0,0,0,0,0,No ,,,U,69,"285,000"
2017,Mitchell,Douglas,5-Jul-17,10-Jul-17,700,0,1,1,0,0,15,0,0,0,No,,,U,88,"750,000"
2017,East Saddle ,Grant,12-Aug-17,19-Aug-17,"17,470",1,1,0,2,1,40,0,1,0,Yes,25,,U,166,"425,000"
2017,Crab Creek ,Lincoln,15-Sep-17,18-Sep-17,591,1,1,0,0,0,4,0,0,0,No,,,U,8,"100,000"
2017,Sawmill Creek ,King,4-Sep-17,6-Nov-17,"1,061",0,0,1,0,0,0,0,0,0,No,,,U,377,"4,500,000"
2018,Cougar Creek Fire,Chelan,28-Jul-18,8-Nov-18,"42,712",1,1,1,0,0,3000,0,5,0,Yes,,,L,1225,"42,165,000"
2018,Crystal,Douglas,1-Sep-18,3-Sep-18,"2,610",1,0,0,0,0,200,0,0,0,No,,,H,42,"511,894"
2018,Newell Grade,Klickitat,28-Jun-18,1-Jul-18,228,1,0,0,0,0,2,0,0,0,No,,,U,104,"250,000"
2018,Ragged Butte,Douglas,6-Aug-18,7-Aug-18,"1,050",1,1,0,0,0,12,0,0,0,No,,,U,23,"30,000"
2018,Angel Springs,Lincoln,2-Aug-18,14-Aug-18,"5,046",1,1,1,14,0,170,0,5,0,Yes,200,,U,566,"5,220,000"
2018,Washington Flats,Douglas,11-Jul-18,13-Jul-18,385,1,1,0,0,0,0,0,0,0,No,,,H,93,"100,000"
2018,Navarre,Chelan,31-Jul-18,3-Aug-18,150,1,0,0,0,0,0,0,0,0,No,,,U,14,"132,576"
2019,Powerline,Grant,14-Jul-19,17-Jul-19,"7,700",1,1,0,0,0,24,0,0,0,No,,,U,233,"827,000"
2019,Left Hand,Kittitas,23-Jul-19,9-Aug-19,"3,406",0,0,1,0,0,250,0,6,0,Yes,22,,L,652,"8,009,697"
2019,Juniper,Klickitat,20-Jul-19,22-Jul-19,350,1,1,1,0,1,39,0,1,0,Yes,7,7,H,174,"50,000"
2019,Alkali Canyon,Yakima,20-Jun-19,21-Jun-19,"4,000",1,1,0,0,0,0,0,0,0,No,,,U,60,"200,000"
2019,Elmer city,Okanogan,23-Jun-19,26-Jun-19,"1,979",1,0,1,2,2,45,0,0,0,Yes,80,,U,108,"550,000"